rank,salary,lsalary,GPA,age,LSAT,libvol,faculty,cost
128,31400.0,10.354563,3.15,12.0,155.0,216.0,45.0,8340.0
104,33098.0,10.407228,3.5,113.0,160.0,256.0,44.0,6980.0
34,32870.0,10.400315,3.25,134.0,155.0,424.0,78.0,16370.0
49,35000.0,10.463103,3.2,89.0,157.0,329.0,136.0,17566.0
95,33606.0,10.42246,3.38,70.0,162.0,332.0,56.0,8350.0
98,31700.0,10.364072,3.4,29.0,161.0,311.0,40.0,8350.0
124,30410.0,10.322527,3.16,61.0,155.0,220.0,40.0,6020.0
157,30150.0,10.31394,3.12,60.0,152.0,230.0,45.0,5986.0
145,31300.0,10.351374,3.12,70.0,155.0,230.0,101.0,4785.0
91,33200.0,10.410305,3.66,128.0,160.0,157.0,44.0,7680.0
50,34900.0,10.460242,3.55,56.0,165.0,320.0,78.0,17720.0
23,55413.0,10.922569,3.42,115.0,163.0,470.0,128.0,16160.0
78,33750.0,10.426736,3.6,,162.0,330.0,48.0,6300.0
5,65000.0,11.082143,3.7,,167.0,600.0,80.0,11387.0
27,,,3.45,20.0,164.0,371.0,38.0,12058.0
19,62000.0,11.034889,3.55,107.0,163.0,542.0,114.0,12478.0
13,63000.0,11.05089,3.57,,165.0,470.0,96.0,12202.0
115,31300.0,10.351374,3.2,,156.0,208.0,80.0,15700.0
171,28500.0,10.257659,3.2,9.0,156.0,147.0,35.0,11750.0
131,30100.0,10.312281,3.25,,154.0,215.0,31.0,12927.0
72,33650.0,10.423768,3.3,,160.0,352.0,72.0,16545.0
55,40325.0,10.604727,3.3,93.0,158.0,305.0,,16680.0
4,70000.0,11.156251,3.75,,168.0,555.0,40.0,19392.0
90,32800.0,10.398184,3.37,152.0,162.0,339.0,51.0,11268.0
133,,,,26.0,,290.0,72.0,10808.0
65,35000.0,10.463103,3.31,,164.0,280.0,62.0,12537.0
7,78325.0,11.268622,3.6,,168.0,735.0,101.0,20518.0
84,,,3.29,,160.0,383.0,95.0,16036.0
10,67500.0,11.119883,3.55,,163.0,400.0,56.0,19200.0
112,,,3.2,107.0,154.0,198.0,51.0,12376.0
137,29800.0,10.302263,3.1,38.0,156.0,210.0,58.0,13850.0
141,28900.0,10.271597,3.2,,155.0,208.0,27.0,13384.0
47,42300.0,10.652542,3.2,,158.0,275.0,83.0,15221.0
82,32900.0,10.401228,3.27,,158.0,312.0,109.0,14115.0
144,29200.0,10.281924,3.0,94.0,155.0,200.0,60.0,
76,34500.0,10.448714,3.3,73.0,155.0,190.0,28.0,12500.0
94,,,3.4,151.0,156.0,325.0,61.0,12200.0
88,32300.0,10.382822,3.23,120.0,155.0,240.0,65.0,13780.0
9,60172.0,11.004962,3.7,,169.0,450.0,82.0,19016.0
89,32093.0,10.376393,,74.0,,192.0,58.0,10353.0
43,46103.0,10.738633,3.4,149.0,163.0,260.0,78.0,17170.0
59,,,3.53,76.0,162.0,530.0,68.0,12570.0
81,33900.0,10.43117,3.3,24.0,158.0,346.0,58.0,11400.0
22,64880.0,11.080295,3.3,144.0,163.0,410.0,187.0,17900.0
142,29336.0,10.286571,3.0,12.0,154.0,186.0,51.0,12100.0
127,,,3.27,6.0,160.0,260.0,50.0,16212.0
31,61000.0,11.018629,3.51,120.0,163.0,403.0,196.0,17650.0
18,62705.0,11.046197,3.52,61.0,166.0,728.0,245.0,18995.0
46,45889.0,10.733981,3.4,126.0,163.0,456.0,52.0,7221.0
175,,,3.12,3.0,159.0,221.0,41.0,7500.0
79,34130.0,10.437932,3.14,84.0,158.0,200.0,109.0,14554.0
74,34400.0,10.445812,3.16,73.0,154.0,197.0,43.0,13175.0
1,67815.0,11.124538,3.75,173.0,168.0,1745.0,113.0,18364.0
139,30580.0,10.328101,3.42,12.0,160.0,231.0,36.0,7820.0
28,51082.0,10.8411875,3.25,,158.0,395.0,67.0,16740.0
48,39000.0,10.571317,3.3,,159.0,400.0,113.0,7300.0
116,29500.0,10.292146,2.85,118.0,152.0,240.0,42.0,9625.0
132,27000.0,10.203592,3.25,76.0,152.0,146.0,22.0,6810.0
38,40000.0,10.596635,3.4,95.0,161.0,593.0,65.0,12622.0
30,50000.0,10.819778,3.49,133.0,160.0,510.0,54.0,12382.0
109,31000.0,10.3417425,3.3,,159.0,410.0,63.0,11588.0
172,26000.0,10.165852,3.15,,140.0,161.0,38.0,7225.0
17,63000.0,11.05089,3.49,120.0,159.0,727.0,54.0,10190.0
113,30000.0,10.308952,3.2,86.0,158.0,280.0,188.0,13200.0
62,36000.0,10.491274,3.43,94.0,159.0,325.0,39.0,6996.0
92,33000.0,10.404263,3.3,77.0,160.0,329.0,48.0,9738.0
123,29750.0,10.300585,3.2,,161.0,325.0,100.0,13900.0
83,34750.0,10.455935,3.35,78.0,156.0,540.0,47.0,4247.0
93,33900.0,10.43117,3.2,139.0,157.0,236.0,39.0,9639.0
73,35000.0,10.463103,3.24,,160.0,285.0,154.0,13950.0
36,39000.0,10.571317,3.35,65.0,161.0,341.0,96.0,16604.0
155,29640.0,10.29688,3.1,71.0,152.0,230.0,61.0,14663.0
150,28420.0,10.2548485,3.3,,157.0,280.0,23.0,
40,39500.0,10.584056,3.2,93.0,157.0,220.0,51.0,12600.0
57,38000.0,10.5453415,3.35,,160.0,325.0,103.0,13245.0
37,42000.0,10.645425,3.24,61.0,157.0,285.0,88.0,15114.0
140,30150.0,10.31394,3.2,23.0,154.0,246.0,41.0,7504.0
105,30000.0,10.308952,3.1,112.0,157.0,252.0,49.0,13800.0
107,39900.0,10.594131,3.2,59.0,155.0,392.0,138.0,17310.0
2,65000.0,11.082143,3.67,126.0,168.0,750.0,97.0,19575.0
20,49862.0,10.817015,3.56,,163.0,800.0,128.0,12949.0
54,40591.0,10.611301,3.3,131.0,153.0,260.0,32.0,6268.0
85,34750.0,10.455935,3.0,,153.0,220.0,35.0,10500.0
96,36900.0,10.515966,3.28,90.0,154.0,245.0,57.0,12133.0
122,29750.0,10.300585,3.2,74.0,155.0,124.0,27.0,9292.0
97,34000.0,10.434115,3.4,97.0,156.0,304.0,56.0,8700.0
114,29500.0,10.292146,3.07,77.0,152.0,242.0,103.0,11150.0
125,29500.0,10.292146,3.2,,158.0,350.0,48.0,8274.0
86,34700.0,10.454495,3.0,94.0,154.0,377.0,150.0,16670.0
11,56200.0,10.936672,,150.0,,888.0,105.0,19740.0
163,28800.0,10.26813,3.22,86.0,152.0,250.0,,6755.0
110,28900.0,10.271597,3.23,,159.0,165.0,55.0,16860.0
160,30000.0,10.308952,3.0,,157.0,200.0,35.0,6512.0
167,28000.0,10.23996,3.31,92.0,151.0,234.0,47.0,
14,67000.0,11.112448,3.6,94.0,162.0,557.0,111.0,18170.0
35,53177.0,10.881381,3.45,116.0,161.0,340.0,60.0,16400.0
136,29699.0,10.298868,3.0,100.0,156.0,225.0,41.0,16960.0
33,41300.0,10.628618,3.5,94.0,161.0,590.0,57.0,12200.0
80,34800.0,10.457373,3.28,76.0,154.0,262.0,40.0,9198.0
134,27000.0,10.203592,3.03,,151.0,216.0,48.0,10850.0
53,39000.0,10.571317,3.5,101.0,160.0,291.0,40.0,12680.0
162,26000.0,10.165852,3.3,,159.0,280.0,78.0,16310.0
8,65000.0,11.082143,3.7,133.0,165.0,540.0,93.0,19767.0
165,24900.0,10.122623,3.38,72.0,146.0,211.0,56.0,2623.0
129,28000.0,10.23996,3.3,,159.0,301.0,65.0,13800.0
148,30135.0,10.313442,3.23,,161.0,216.0,87.0,14040.0
64,37600.0,10.5347595,3.22,,157.0,450.0,37.0,10638.0
60,39800.0,10.591622,3.39,,161.0,393.0,35.0,10653.0
